category,content
Basic Needs,Ich brauche etwas
Basic Needs,Ich möchte mich ausruhen
Food,Ich habe Hunger
Food,Ich möchte etwas essen
Food,Das Essen schmeckt gut
Food,Das Essen ist zu heiß
Drinks,Ich habe Durst
Drinks,Ich möchte etwas trinken
Drinks,Mehr Wasser bitte
Health,Ich fühle mich nicht gut
Health,Ich brauche einen Arzt
Health,Ich brauche meine Medikamente
Pain,Ich habe Schmerzen
Pain,Die Schmerzen sind stark
Pain,Hier tut es weh
Bathroom,Ich muss zur Toilette
Bathroom,Ich brauche Hilfe im Bad
Emotions,Ich bin glücklich
Emotions,Ich bin traurig
Emotions,Ich bin müde
Help,Ich brauche Hilfe
Help,Bitte kommen Sie her
Emergency,Notruf! Bitte schnell!
Emergency,Ich brauche sofort Hilfe
Family,Ich möchte meine Familie sehen
Family,Wann kommen die Besucher?
Daily Care,Ich möchte mich waschen
Daily Care,Ich möchte mich anziehen
Rest,Ich möchte schlafen
Rest,Ich brauche eine Pause
Entertainment,Ich möchte fernsehen
Entertainment,Können Sie Musik anmachen?
Movement,Ich möchte aufstehen
Movement,Ich möchte mich hinlegen
Temperature,Mir ist kalt
Temperature,Mir ist zu warm 
