category,content
Basic Needs,I need something
Basic Needs,I want to rest
Food,I am hungry
Food,I want to eat something
Food,The food tastes good
Food,The food is too hot
Drinks,I am thirsty
Drinks,I want something to drink
Drinks,More water please
Health,I don't feel well
Health,I need a doctor
Health,I need my medication
Pain,I am in pain
Pain,The pain is severe
Pain,It hurts here
Bathroom,I need to use the bathroom
Bathroom,I need help in the bathroom
Emotions,I am happy
Emotions,I am sad
Emotions,I am tired
Help,I need help
Help,Please come here
Emergency,Emergency! Please hurry!
Emergency,I need help immediately
Family,I want to see my family
Family,When are the visitors coming?
Daily Care,I want to wash myself
Daily Care,I want to get dressed
Rest,I want to sleep
Rest,I need a break
Entertainment,I want to watch TV
Entertainment,Can you turn on some music?
Movement,I want to get up
Movement,I want to lie down
Temperature,I am cold
Temperature,I am too warm 
